Year,count,mean,std,min,25%,50%,75%,max
2005,6.0,4.049239130434782,2.249217235190391,1.1045652173913043,3.2858967391304343,3.687717391304348,4.465434782608696,7.938804347826087
2006,6.0,-2.4697115384615387,1.215438659643106,-3.907115384615385,-3.246394230769231,-2.438846153846154,-2.179375,-0.42500000000000004
2007,6.0,-3.2940522875816995,1.0824688391107513,-4.513529411764706,-4.031372549019608,-3.417843137254902,-2.8293137254901963,-1.5460784313725489
2008,6.0,0.0752941176470588,1.0845049010634318,-1.8362745098039217,-0.2592156862745098,0.3196078431372549,0.8365196078431373,1.0921568627450982
2009,6.0,-1.7382,0.866779593668425,-2.9748,-2.03325,-1.867,-1.4147,-0.3678
2010,6.0,0.5909666666666666,0.7098279951274581,-0.6926000000000001,0.5233,0.6488,0.9639,1.3903999999999999
2011,6.0,-1.4358148148148147,0.8526492908392783,-2.4073333333333333,-2.1679444444444442,-1.431888888888889,-0.715,-0.45444444444444443
2012,6.0,-2.309366666666667,0.8800228307644449,-3.1568,-3.0399000000000003,-2.4161,-1.8631,-0.9406
2013,6.0,-1.0805208333333336,1.1106261430776336,-2.166875,-2.0736458333333334,-1.2289583333333334,-0.07223958333333334,0.1835416666666667
2014,6.0,-2.418297872340425,0.8492505683487365,-3.361063829787234,-2.974787234042553,-2.5700000000000003,-2.0442553191489363,-1.03
2015,6.0,-1.3159666666666665,0.7874033214729708,-2.5744,-1.73255,-1.0671,-0.8356,-0.4744
2016,6.0,-2.05724358974359,0.2659901860834384,-2.3634615384615385,-2.2818269230769235,-2.0348076923076923,-1.866971153846154,-1.7351923076923077
2017,6.0,-0.77375,0.9030103234353244,-2.3003846153846155,-1.1479807692307693,-0.5493269230769231,-0.16326923076923078,0.13865384615384618
2018,6.0,-3.3854248366013073,1.0865083748160578,-4.8966666666666665,-4.1674509803921564,-2.9980392156862745,-2.810833333333333,-2.114117647058823
2019,6.0,0.2144230769230769,0.39885169864849873,-0.26826923076923076,-0.07014423076923076,0.17519230769230773,0.5004326923076923,0.7474999999999999
2020,6.0,-0.9024333333333333,0.7133577774628007,-2.016,-1.309,-0.7042999999999999,-0.3816,-0.2054
2021,6.0,-3.3410784313725492,1.0825673895966337,-4.727058823529412,-3.948627450980392,-3.5977450980392156,-2.4992156862745096,-1.9252941176470588
2022,6.0,-2.565,0.7267639630500164,-3.2011538461538462,-3.058365384615385,-2.87875,-2.118894230769231,-1.4475
2023,6.0,0.3489855072463768,0.7973598764214188,-0.7084782608695653,-0.13717391304347826,0.2672826086956522,0.9554347826086957,1.355
