Year,Climate Division 0201 Weekly Palmer Drought Index,Climate Division 0202 Weekly Palmer Drought Index,Climate Division 0203 Weekly Palmer Drought Index,Climate Division 0204 Weekly Palmer Drought Index,Climate Division 0205 Weekly Palmer Drought Index,Climate Division 0206 Weekly Palmer Drought Index
2005,4.715326086956522,3.7157608695652176,3.6596739130434783,1.1045652173913043,7.938804347826087,3.1613043478260865
2006,-2.1890384615384617,-2.688653846153846,-3.4323076923076923,-3.907115384615385,-0.42500000000000004,-2.176153846153846
2007,-4.088627450980392,-2.976078431372549,-4.513529411764706,-3.859607843137255,-1.5460784313725489,-2.7803921568627454
2008,-1.8362745098039217,0.9747058823529412,-0.4180392156862745,1.0921568627450982,0.21725490196078429,0.42196078431372547
2009,-2.9748,-1.7102000000000002,-2.0238,-0.3678,-1.3162,-2.0364
2010,-0.6926000000000001,0.5226,1.0278,0.5254,1.3903999999999999,0.7722
2011,-0.45444444444444443,-0.617111111111111,-1.8551111111111112,-2.272222222222222,-1.0086666666666666,-2.4073333333333333
2012,-1.966,-1.8288,-3.1568,-2.8662,-0.9406,-3.0978000000000003
2013,-1.8745833333333335,-0.5833333333333334,-2.166875,0.098125,0.1835416666666667,-2.14
2014,-2.8921276595744683,-3.0023404255319144,-2.247872340425532,-3.361063829787234,-1.03,-1.9763829787234042
2015,-1.9378,-1.0173999999999999,-0.4744,-2.5744,-1.1168,-0.775
2016,-1.8667307692307693,-1.7351923076923077,-1.8676923076923078,-2.201923076923077,-2.308461538461539,-2.3634615384615385
2017,0.13865384615384618,-0.8500000000000001,-0.24865384615384614,-1.2473076923076922,-0.13480769230769232,-2.3003846153846155
2018,-2.924509803921569,-4.532745098039215,-3.0715686274509806,-4.8966666666666665,-2.114117647058823,-2.772941176470588
2019,0.7474999999999999,-0.08711538461538461,0.3696153846153847,-0.26826923076923076,-0.01923076923076922,0.5440384615384615
2020,-0.2054,-2.016,-0.7372,-1.4996,-0.6714,-0.285
2021,-3.9849019607843137,-4.727058823529412,-3.839803921568627,-3.3556862745098037,-2.2137254901960786,-1.9252941176470588
2022,-2.873076923076923,-3.116346153846154,-3.2011538461538462,-2.884423076923077,-1.8675,-1.4475
2023,1.355,1.1654347826086957,0.3254347826086957,-0.2526086956521739,-0.7084782608695653,0.20913043478260868
