year,Central - Mixed,Lower Colorado River - SW Dominated,Norh - Mixed,Northeast - GW Dominated,Northwest - GW Dominated,Regulated with CAP,Regulated without CAP,Reservation,South central - GW Dominated,Southeast - GW Dominated,Upper Colorado River - Mixed
2002,-0.8279106928571428,-1.4916010527142858,-1.7674423857142858,-1.2411146357142857,-2.0997452514285717,-1.063271095714286,-1.0102338085714286,-1.20055599,-1.3452961514285715,-0.7051007514285714,-2.3709859024285715
2003,-0.5937634227272728,-0.7225084963636363,-1.3874714502727274,-0.8917254818181818,-1.4728636263636365,-0.5605987281818181,-0.6887068745454545,-0.9591902818181818,-0.6938360890909091,-0.5600268645454546,-1.6258059527272728
2004,-1.0072456250000001,-1.4609509166666668,-2.0287010241666668,-1.5125349966666668,-2.3034012983333336,-1.0302066,-0.9489093825,-1.4908357208333334,-1.3084892083333333,-0.6940799425,-2.644573567
2005,2.981248266333333,3.7177350211666664,4.2903756526666665,3.853885035,5.327802403333334,2.9052442316666665,2.668349619166667,3.3623660033333334,3.4696991675,2.28911955775,6.105072284666666
2006,-0.020716408333333314,0.35976886575,0.48388649333333333,0.08669151083333333,0.62905484,0.04390918916666667,-0.13471253166666666,0.15668839416666666,0.19879635250000002,-0.1853273158333333,0.8287683450000002
2007,-0.40853966383333334,-1.0061911283333334,-0.9934032333333334,-0.6901345466666666,-1.3029223686666667,-0.6095987233333333,-0.3517098408333334,-0.5898593308333332,-0.9011120483333332,-0.11925984666666667,-1.4806656738333333
2008,0.024651324583333366,-0.02717567499999998,-0.26761724666666664,-0.10814721416666656,-0.40240772333333336,0.06682087833333333,0.07261933499999998,-0.03797895033333324,-0.013325738333333304,0.11567725370416666,-0.48098945499999984
2009,-1.5693978508333333,-1.5831861783333334,-1.4845406083333332,-1.6297596311666667,-1.9481257716666667,-1.3761688925,-1.3056371833333333,-1.4003803291666668,-1.4455684729999998,-1.4061296708333335,-2.327611971666667
2010,0.09639098166666667,0.5616093225,-0.030596318333333334,0.046094561666666665,-0.0652658066666667,0.2869368241666667,0.15076204,0.15884776500000006,0.38571004999999997,0.11602051533333331,-0.020650291666666654
2011,-2.47400586,-1.126289423,-0.24234436600000003,-1.6640764359999998,-0.302434603,-2.0635424710000003,-2.451387085,-1.3431730659999999,-1.3972291799999998,-2.99880955,-0.18689322700000005
2012,-3.46056936,-2.4428976479999998,-2.469269134,-3.082039908,-2.723802723,-3.0141835329999997,-3.4014978499999997,-2.962438191,-2.654921735,-3.8637291759999997,-2.9323902522
2013,-5.464051022222222,-3.5233166377777776,-3.903468966666667,-4.829999900000001,-3.9693847,-4.892412622222222,-5.415249266666667,-4.743711911111111,-3.962263688888889,-5.949423377777778,-4.184143588888889
2014,-5.726552711111111,-5.449697622222222,-4.784475155555556,-5.3543128,-6.267990444444444,-5.321292077777778,-5.1900762333333335,-5.148175388888889,-5.262060688888889,-5.797236877777777,-7.364328333333333
2015,-4.768123611111111,-5.700877188888889,-6.768278344444444,-5.230535188888889,-8.2620471,-5.018601555555556,-4.335495133333334,-4.862455644444444,-5.660412411111111,-4.20969001111111,-9.165497199999999
2016,-6.4035057,-8.625247422222223,-5.568883897777777,-5.966973577777777,-7.994955895555555,-6.714021922222222,-6.018851844444445,-5.4234153,-7.457442248888889,-6.393396355555556,-9.465179922222223
2017,-5.47452624,-3.722870726,-2.444119894,-4.19609338,-3.2488502999999995,-4.8479209,-5.22380784,-3.5207582200000003,-3.95551118,-6.0480655,-3.5750684460000004
2018,-11.600343599999999,-11.5244174,-12.284805,-11.4066808,-14.225862900000001,-11.339849000000001,-11.7311324,-11.3195958,-11.0322514,-12.063312,-15.874308199999998
2019,-7.327311783333333,-7.07968425,-4.769116641666667,-5.989869383333333,-6.767895378666666,-7.345050475000001,-7.509921833333333,-5.369057056666667,-6.9107509,-8.367826058333334,-7.934410433333333
2020,-7.856547933333334,-9.133702258333335,-7.79333625,-7.1813825441666665,-11.166559958333332,-8.29419425,-8.40832865,-7.296569875,-8.731264516666666,-8.829482825000001,-13.383538308333334
2021,-11.627370999999998,-11.441131933333333,-10.363476050000001,-10.430258,-14.142240166666667,-11.724259125000001,-12.815400833333333,-10.678772283333332,-11.167077083333334,-13.72530225,-16.6954155
2022,-12.007648708333333,-14.204439583333333,-12.801997791666667,-11.078204291666665,-18.078200499999998,-13.424884416666666,-13.50065675,-10.874821249999998,-13.907946916666667,-13.699129999999998,-21.103656
2023,-6.6683727,-6.142145766666666,-4.016597358333333,-5.338053216666666,-6.771446399999999,-6.2442772,-8.096004983333332,-4.809437116666667,-5.88785305,-9.428724583333333,-8.503001033333334
